chiave	testo_it	nota_contesto	en	fr	de	es	pt	ru	sq	ro	hi	pa	bn	sr	hr	tr	fa	ps	tl	pl	uk	zh	ar	ur
error_text	Controlla la pagina e correggi il punto indicato. Poi potrai inviare di nuovo la conferma.	Messaggio errore.	Check the page and correct the indicated point. You can then resend the confirmation.	Vérifiez la page et corrigez le point indiqué. Vous pourrez ensuite renvoyer la confirmation.	Überprüfen Sie die Seite und korrigieren Sie den markierten Punkt. Anschließend können Sie die Bestätigung erneut senden.	Revisa la página y corrige el punto indicado. Luego podrás reenviar la confirmación.	Verifique a página e corrija o ponto indicado. Em seguida, você poderá reenviar a confirmação.	Проверьте страницу и исправьте указанный пункт. После этого вы можете повторно отправить подтверждение.	Kontrolloni faqen dhe korrigjoni pikën e treguar. Pastaj mund ta ridërgoni konfirmimin.	Verificați pagina și corectați punctul indicat. Apoi puteți retrimite confirmarea.	पेज की जांच करें और बताए गए बिंदु को ठीक करें। इसके बाद आप पुष्टिकरण दोबारा भेज सकते हैं।	ਪੰਨੇ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ ਦੱਸੇ ਗਏ ਬਿੰਦੂ ਨੂੰ ਠੀਕ ਕਰੋ। ਫਿਰ ਤੁਸੀਂ ਪੁਸ਼ਟੀਕਰਨ ਦੁਬਾਰਾ ਭੇਜ ਸਕਦੇ ਹੋ।	পৃষ্ঠাটি যাচাই করুন এবং নির্দেশিত বিষয়টি সংশোধন করুন। এরপর আপনি নিশ্চিতকরণ বার্তাটি পুনরায় পাঠাতে পারেন।	Проверите страницу и исправите назначену тачку. Затим можете поново послати потврду.	Provjerite stranicu i ispravite naznačenu točku. Zatim možete ponovno poslati potvrdu.	Sayfayı kontrol edin ve belirtilen noktayı düzeltin. Ardından onayı yeniden gönderebilirsiniz.	صفحه را بررسی کنید و نکته‌ی مشخص‌شده را اصلاح کنید. سپس می‌توانید تأییدیه را دوباره ارسال کنید.	پاڼه وګورئ او ښودل شوې نقطه سمه کړئ. بیا تاسو کولی شئ تایید بیا واستوئ.	Suriin ang pahina at itama ang ipinahiwatig na punto. Pagkatapos ay maaari mong ipadala muli ang kumpirmasyon.	Sprawdź stronę i popraw wskazany punkt. Następnie możesz ponownie wysłać potwierdzenie.	Перевірте сторінку та виправте зазначений пункт. Після цього ви можете повторно надіслати підтвердження.	请检查页面并更正指出的问题。然后您可以重新发送确认邮件。	راجع الصفحة وصحح النقطة المشار إليها. يمكنك بعد ذلك إعادة إرسال التأكيد.	صفحہ چیک کریں اور اشارہ کردہ پوائنٹ کو درست کریں۔ اس کے بعد آپ تصدیق دوبارہ بھیج سکتے ہیں۔
back_to_fix	Torno a correggere	Pulsante errore.	I'm back to correct	Je suis de retour à la correction	Ich bin wieder im korrekten Zustand.	He vuelto para corregir	Voltei para corrigir	Я вернулся, чтобы исправить.	Jam kthyer për të korrigjuar	M-am întors să corectez	मैं सुधार करने के लिए वापस आ गया हूँ।	ਮੈਂ ਠੀਕ ਕਰਨ ਲਈ ਵਾਪਸ ਆਇਆ ਹਾਂ।	আমি আবার সঠিক অবস্থায় ফিরে এসেছি।	Вратио сам се да исправим	Vratio sam se da ispravim	Düzeltmek için geri döndüm.	برگشتم که اصلاح کنم	زه بیرته راغلم چې سم شم	Bumalik ako para itama	Wróciłem, żeby to poprawić	Я повернувся до виправлення	我回来纠正	لقد عدت للتصحيح	میں درست کرنے کے لیے واپس آ گیا ہوں۔
doc.pagella	Pagella	Nome documento.	Report card	Bulletin scolaire	Zeugnis	Boletín de calificaciones	Boletim escolar	Табель успеваемости	Raporti	Fișă de raport	रिपोर्ट कार्ड	ਰਿਪੋਰਟ ਕਾਰਡ	রিপোর্ট কার্ড	Извештај	Izvješće	Karne	کارت گزارش	د راپور کارت	Kard ng ulat	Karta raportu	Табель звіту	成绩单	تقرير الأداء	رپورٹ کارڈ
doc.diploma	Diploma o licenza conclusiva	Nome documento.	Diploma or final license	diplôme ou licence définitive	Diplom oder endgültige Lizenz	Diploma o licencia definitiva	Diploma ou licença final	Диплом или окончательный лицензионный сертификат	Diplomë ose licencë përfundimtare	Diplomă sau licență definitivă	डिप्लोमा या अंतिम लाइसेंस	ਡਿਪਲੋਮਾ ਜਾਂ ਅੰਤਿਮ ਲਾਇਸੈਂਸ	ডিপ্লোমা বা চূড়ান্ত লাইসেন্স	Диплома или завршна лиценца	Diploma ili konačna licenca	Diploma veya nihai lisans	دیپلم یا آخرین گواهینامه	ډیپلوم یا وروستۍ جواز	Diploma o pangwakas na lisensya	Dyplom lub licencja końcowa	Диплом або остаточна ліцензія	文凭或最终执照	شهادة أو رخصة نهائية	ڈپلومہ یا حتمی لائسنس
doc.certificazione_competenze	Certificazione delle competenze	Nome documento.	Certification of skills	Certification des compétences	Kompetenzzertifizierung	Certificación de habilidades	Certificação de habilidades	Сертификация навыков	Certifikimi i aftësive	Certificarea competențelor	कौशल का प्रमाणीकरण	ਹੁਨਰਾਂ ਦਾ ਪ੍ਰਮਾਣੀਕਰਨ	দক্ষতার শংসাপত্র	Сертификација вештина	Certifikacija vještina	Becerilerin belgelendirilmesi	صدور گواهینامه مهارت	د مهارتونو تصدیق	Sertipikasyon ng mga kasanayan	Certyfikacja umiejętności	Сертифікація навичок	技能认证	شهادة المهارات	مہارت کی تصدیق
doc.invalsi	INVALSI	Nome documento.	INVALSI	INVALSI	INVALSI	INVALSI	INVALSI	ИНВАЛСИ	INVALSI	INVALSI	इनवाल्सी	ਇਨਵਾਲਸੀ	ইনভালসি	ИНВАЛСИ	INVALSI	INVALSI	اینوالسی	انوالسي	INVALSI	INVALSI	ІНВАЛЬСІ	无效	هراء	INVALSI
doc.documento_identita_studente	Documento di identità dello studente	Nome documento.	Student ID	Carte d'étudiant	Studentenausweis	Carné de estudiante	Identificação de estudante	Студенческий билет	ID e Studentit	ID-ul de student	स्टूडेंट आईडी	ਵਿਦਿਆਰਥੀ ਆਈਡੀ	শিক্ষার্থীর আইডি	Студентска идентификација	Studentska iskaznica	Öğrenci Kimliği	شناسه دانشجویی	د زده کونکي پېژندپاڼه	ID ng Mag-aaral	Legitymacja studencka	Студентський квиток	学生证	هوية الطالب	طالب علم کی شناخت
doc.codice_fiscale_studente	Codice fiscale dello studente	Nome documento.	Student tax code	Code fiscal étudiant	Studentensteuergesetz	Código tributario estudiantil	Código tributário estudantil	Налоговый кодекс для студентов	Kodi tatimor i studentit	Codul fiscal pentru studenți	छात्र कर संहिता	ਵਿਦਿਆਰਥੀ ਟੈਕਸ ਕੋਡ	ছাত্র কর কোড	Порески код за студенте	Porezni kod za studente	Öğrenci vergi kodu	کد مالیاتی دانشجویی	د زده کونکو د مالیې کوډ	Kodigo ng buwis ng mag-aaral	Kodeks podatkowy dla studentów	Податковий код студента	学生税法	قانون ضريبة الطلاب	طلباء کا ٹیکس کوڈ
doc.documento_identita_genitore_1	Documento di identità del responsabile 1	Nome documento.	Identity document of the person in charge 1	Pièce d'identité du responsable 1	Ausweisdokument der verantwortlichen Person 1	Documento de identidad de la persona a cargo 1	Documento de identidade do responsável 1	Документ, удостоверяющий личность ответственного лица 1	Dokument identifikimi i personit përgjegjës 1	Actul de identitate al persoanei responsabile 1	प्रभारी व्यक्ति का पहचान पत्र 1	ਇੰਚਾਰਜ ਵਿਅਕਤੀ ਦਾ ਪਛਾਣ ਦਸਤਾਵੇਜ਼ 1	দায়িত্বপ্রাপ্ত ব্যক্তির পরিচয়পত্র ১	Лична карта одговорног лица 1	Identifikacijski dokument odgovorne osobe 1	Sorumlu kişinin kimlik belgesi 1	مدرک شناسایی مسئول ۱	د مسؤل کس د هویت سند ۱	Dokumento ng pagkakakilanlan ng taong namamahala 1	Dokument tożsamości osoby odpowiedzialnej 1	Документ, що посвідчує особу відповідальної особи 1	负责人身份证件 1	وثيقة هوية الشخص المسؤول 1	انچارج شخص کی شناختی دستاویز 1
doc.codice_fiscale_genitore_1	Codice fiscale del responsabile 1	Nome documento.	Tax code of the person in charge 1	Code fiscal de la personne responsable 1	Steuerkennzeichen der verantwortlichen Person 1	Código fiscal de la persona a cargo 1	Código fiscal da pessoa responsável 1	Налоговый код ответственного лица 1	Kodi tatimor i personit përgjegjës 1	Codul fiscal al persoanei responsabile 1	प्रभारी व्यक्ति का कर कोड 1	ਇੰਚਾਰਜ ਵਿਅਕਤੀ ਦਾ ਟੈਕਸ ਕੋਡ 1	দায়িত্বপ্রাপ্ত ব্যক্তির কর কোড ১	Порески код одговорног лица 1	Porezni kod odgovorne osobe 1	Sorumlu kişinin vergi kodu 1	کد مالیاتی شخص مسئول ۱	د مسؤل کس د مالیې کوډ ۱	Kodigo ng buwis ng taong namamahala 1	Kod podatkowy osoby odpowiedzialnej 1	Податковий код відповідальної особи 1	负责人税号 1	الرمز الضريبي للشخص المسؤول 1	انچارج شخص کا ٹیکس کوڈ 1
doc.documento_identita_genitore_2	Documento di identità del responsabile 2	Nome documento.	Identity document of the person in charge 2	Pièce d'identité du responsable 2	Ausweisdokument der verantwortlichen Person 2	Documento de identidad de la persona a cargo 2	Documento de identidade do responsável 2	Документ, удостоверяющий личность ответственного лица 2	Dokument identifikimi i personit përgjegjës 2	Actul de identitate al persoanei responsabile 2	प्रभारी व्यक्ति का पहचान पत्र 2	ਇੰਚਾਰਜ ਵਿਅਕਤੀ ਦਾ ਪਛਾਣ ਦਸਤਾਵੇਜ਼ 2	দায়িত্বে থাকা ব্যক্তির পরিচয়পত্র ২	Лична карта одговорног лица 2	Identifikacijski dokument odgovorne osobe 2	Sorumlu kişinin kimlik belgesi 2	مدرک شناسایی مسئول ۲.	د مسؤل کس د هویت سند ۲	Dokumento ng pagkakakilanlan ng taong namamahala 2	Dokument tożsamości osoby odpowiedzialnej 2	Документ, що посвідчує особу відповідальної особи 2	负责人身份证件2	وثيقة هوية الشخص المسؤول 2	انچارج شخص کی شناختی دستاویز 2
doc.codice_fiscale_genitore_2	Codice fiscale del responsabile 2	Nome documento.	Tax code of the person in charge 2	Code fiscal de la personne responsable 2	Steuerkennzeichen der verantwortlichen Person 2	Código fiscal de la persona a cargo 2	Código fiscal do responsável 2	Налоговый код ответственного лица 2	Kodi tatimor i personit përgjegjës 2	Codul fiscal al persoanei responsabile 2	प्रभारी व्यक्ति का कर कोड 2	ਇੰਚਾਰਜ ਵਿਅਕਤੀ ਦਾ ਟੈਕਸ ਕੋਡ 2	দায়িত্বপ্রাপ্ত ব্যক্তির কর কোড ২	Порески код одговорног лица 2	Porezni kod odgovorne osobe 2	Sorumlu kişinin vergi kodu 2	کد مالیاتی شخص مسئول ۲	د مسؤل کس د مالیې کوډ ۲	Kodigo ng buwis ng taong namamahala 2	Kod podatkowy osoby odpowiedzialnej 2	Податковий код відповідальної особи 2	负责人的税号 2	رمز الضريبة للشخص المسؤول 2	انچارج شخص کا ٹیکس کوڈ 2
